targetAreaCode,slaCode,slaName,targetAreaCentroidX,targetAreaCentroidY
1230709,105453800,Hawkesbury (C),0,0
1230710,105453800,Hawkesbury (C),0,0
1230801,105450900,Blue Mountains (C),0,0
1230802,105450900,Blue Mountains (C),0,0
1230803,105450900,Blue Mountains (C),0,0
1230804,105450900,Blue Mountains (C),0,0
1230805,105450900,Blue Mountains (C),0,0
1230806,105450900,Blue Mountains (C),0,0
1230807,105450900,Blue Mountains (C),0,0
1230808,105450900,Blue Mountains (C),0,0
1230809,105450900,Blue Mountains (C),0,0
1230810,105450900,Blue Mountains (C),0,0
1230811,105450900,Blue Mountains (C),0,0
1230901,105450900,Blue Mountains (C),0,0
1230902,105450900,Blue Mountains (C),0,0
1230903,105450900,Blue Mountains (C),0,0
1230904,105450900,Blue Mountains (C),0,0
1230905,105450900,Blue Mountains (C),0,0
1230906,105450900,Blue Mountains (C),0,0
1230907,105450900,Blue Mountains (C),0,0
1230908,105450900,Blue Mountains (C),0,0
1230909,105450900,Blue Mountains (C),0,0
1230910,105450900,Blue Mountains (C),0,0
1230911,105450900,Blue Mountains (C),0,0
1230912,105450900,Blue Mountains (C),0,0
1230913,105450900,Blue Mountains (C),0,0
1230914,105450900,Blue Mountains (C),0,0
1231001,105450900,Blue Mountains (C),0,0
1231002,105450900,Blue Mountains (C),0,0
1231003,105450900,Blue Mountains (C),0,0
1231004,105450900,Blue Mountains (C),0,0
1231005,105450900,Blue Mountains (C),0,0
1231006,105450900,Blue Mountains (C),0,0
1231007,105450900,Blue Mountains (C),0,0
1231008,105450900,Blue Mountains (C),0,0
1231009,105450900,Blue Mountains (C),0,0
1231010,105450900,Blue Mountains (C),0,0
1231011,105450900,Blue Mountains (C),0,0
1231012,105450900,Blue Mountains (C),0,0
1231013,105450900,Blue Mountains (C),0,0
1231014,105450900,Blue Mountains (C),0,0
1231101,105450900,Blue Mountains (C),0,0
1231102,105450900,Blue Mountains (C),0,0
1231103,105450900,Blue Mountains (C),0,0
1231104,105450900,Blue Mountains (C),0,0
1231105,105450900,Blue Mountains (C),0,0
1231106,105450900,Blue Mountains (C),0,0
1231107,105450900,Blue Mountains (C),0,0
1231108,105450900,Blue Mountains (C),0,0
1231109,105450900,Blue Mountains (C),0,0
1231110,105450900,Blue Mountains (C),0,0
1231111,105450900,Blue Mountains (C),0,0
1231112,105450900,Blue Mountains (C),0,0
1231201,105450900,Blue Mountains (C),0,0
1231202,105450900,Blue Mountains (C),0,0
1231203,105450900,Blue Mountains (C),0,0
1231204,105450900,Blue Mountains (C),0,0
1231205,105450900,Blue Mountains (C),0,0
1231206,105450900,Blue Mountains (C),0,0
1231207,105450900,Blue Mountains (C),0,0
1231208,105450900,Blue Mountains (C),0,0
1231209,105450900,Blue Mountains (C),0,0
1231210,105450900,Blue Mountains (C),0,0
1231211,105450900,Blue Mountains (C),0,0
1231301,105450900,Blue Mountains (C),0,0
1231302,105450900,Blue Mountains (C),0,0
1231303,105450900,Blue Mountains (C),0,0
1231304,105450900,Blue Mountains (C),0,0
1231305,105450900,Blue Mountains (C),0,0
1231306,105450900,Blue Mountains (C),0,0
1231307,105450900,Blue Mountains (C),0,0
1231308,105450900,Blue Mountains (C),0,0
1231309,105450900,Blue Mountains (C),0,0
1231310,105450900,Blue Mountains (C),0,0
1231311,105450900,Blue Mountains (C),0,0
1231312,105450900,Blue Mountains (C),0,0
1231313,105450900,Blue Mountains (C),0,0
1231401,105450900,Blue Mountains (C),0,0
1231402,105450900,Blue Mountains (C),0,0
1231403,105450900,Blue Mountains (C),0,0
1231404,105450900,Blue Mountains (C),0,0
