zoneID,startTime,endTime,dt
1190309,2015-07-01 19:24:31.475,2015-07-01 19:24:31.506,31
1190510,2015-07-01 19:24:32.663,2015-07-01 19:24:32.71,47
1181005,2015-07-01 19:24:32.943,2015-07-01 19:24:33.006,63
1190306,2015-07-01 19:24:33.068,2015-07-01 19:24:33.099,31
1190307,2015-07-01 19:24:33.319,2015-07-01 19:24:33.444,125
1181007,2015-07-01 19:24:33.584,2015-07-01 19:24:33.693,109
1190304,2015-07-01 19:24:33.974,2015-07-01 19:24:34.192,218
1190305,2015-07-01 19:24:34.958,2015-07-01 19:24:34.973,15
1181104,2015-07-01 19:24:35.395,2015-07-01 19:24:35.583,188
1190405,2015-07-01 19:24:35.661,2015-07-01 19:24:35.754,93
1181105,2015-07-01 19:24:36.051,2015-07-01 19:24:36.113,62
1190406,2015-07-01 19:24:36.238,2015-07-01 19:24:36.41,172
1181106,2015-07-01 19:24:36.66,2015-07-01 19:24:36.723,63
1190403,2015-07-01 19:24:36.785,2015-07-01 19:24:36.801,16
1181107,2015-07-01 19:24:37.019,2015-07-01 19:24:37.066,47
1190404,2015-07-01 19:24:37.161,2015-07-01 19:24:37.208,47
1190409,2015-07-01 19:24:37.349,2015-07-01 19:24:37.396,47
1190610,2015-07-01 19:24:38.434,2015-07-01 19:24:38.53,96
1181101,2015-07-01 19:24:39.06,2015-07-01 19:24:39.124,64
1190611,2015-07-01 19:24:39.244,2015-07-01 19:24:39.307,63
1181102,2015-07-01 19:24:39.771,2015-07-01 19:24:39.787,16
1190407,2015-07-01 19:24:39.865,2015-07-01 19:24:39.88,15
1181103,2015-07-01 19:24:40.423,2015-07-01 19:24:40.439,16
1190408,2015-07-01 19:24:40.565,2015-07-01 19:24:40.699,134
1190604,2015-07-01 19:24:41.127,2015-07-01 19:24:41.463,336
1190603,2015-07-01 19:24:41.855,2015-07-01 19:24:41.87,15
1190602,2015-07-01 19:24:42.034,2015-07-01 19:24:42.035,1
1190601,2015-07-01 19:24:42.563,2015-07-01 19:24:42.593,30
1190608,2015-07-01 19:24:42.782,2015-07-01 19:24:42.806,24
1190412,2015-07-01 19:24:45.129,2015-07-01 19:24:45.265,136
1190607,2015-07-01 19:24:45.442,2015-07-01 19:24:45.456,14
1190411,2015-07-01 19:24:45.609,2015-07-01 19:24:45.658,49
1190606,2015-07-01 19:24:45.745,2015-07-01 19:24:45.805,60
1190410,2015-07-01 19:24:46.17,2015-07-01 19:24:46.187,17
1190605,2015-07-01 19:24:46.416,2015-07-01 19:24:46.458,42
1190509,2015-07-01 19:24:46.582,2015-07-01 19:24:46.663,81
1190508,2015-07-01 19:24:46.844,2015-07-01 19:24:46.876,32
1190312,2015-07-01 19:24:47.142,2015-07-01 19:24:47.173,31
1190507,2015-07-01 19:24:47.36,2015-07-01 19:24:47.391,31
1190311,2015-07-01 19:24:48.538,2015-07-01 19:24:48.928,390
1190506,2015-07-01 19:24:49.616,2015-07-01 19:24:49.631,15
1190609,2015-07-01 19:24:50.275,2015-07-01 19:24:50.76,485
1190310,2015-07-01 19:24:50.916,2015-07-01 19:24:50.931,15
1190505,2015-07-01 19:24:51.04,2015-07-01 19:24:51.087,47
1190504,2015-07-01 19:24:51.274,2015-07-01 19:24:51.29,16
1190503,2015-07-01 19:24:52.341,2015-07-01 19:24:52.372,31
1190502,2015-07-01 19:24:52.672,2015-07-01 19:24:52.703,31
1190501,2015-07-01 19:24:53.059,2015-07-01 19:24:53.096,37
1190402,2015-07-01 19:24:53.192,2015-07-01 19:24:53.223,31
1190401,2015-07-01 19:24:53.863,2015-07-01 19:24:53.879,16
1190301,2015-07-01 19:24:54.257,2015-07-01 19:24:54.257,0
1190303,2015-07-01 19:24:54.919,2015-07-01 19:24:54.935,16
1190302,2015-07-01 19:24:55.185,2015-07-01 19:24:55.201,16
1180108,2015-07-01 19:24:55.388,2015-07-01 19:24:55.514,126
1180107,2015-07-01 19:24:55.919,2015-07-01 19:24:56.43,511
1180311,2015-07-01 19:24:56.602,2015-07-01 19:24:56.805,203
1180601,2015-07-01 19:24:56.883,2015-07-01 19:24:57.055,172
1180310,2015-07-01 19:24:57.242,2015-07-01 19:24:57.273,31
1180109,2015-07-01 19:24:57.876,2015-07-01 19:24:57.922,46
1180313,2015-07-01 19:24:58.431,2015-07-01 19:24:58.446,15
1180312,2015-07-01 19:24:58.541,2015-07-01 19:24:58.557,16
1180314,2015-07-01 19:24:58.619,2015-07-01 19:24:58.635,16
1180412,2015-07-01 19:24:58.744,2015-07-01 19:24:58.8,56
1180411,2015-07-01 19:24:59.39,2015-07-01 19:24:59.438,48
1180414,2015-07-01 19:24:59.603,2015-07-01 19:24:59.634,31
1180413,2015-07-01 19:24:59.712,2015-07-01 19:24:59.728,16
1180207,2015-07-01 19:24:59.886,2015-07-01 19:25:00.323,437
1180206,2015-07-01 19:25:00.837,2015-07-01 19:25:00.838,1
1180410,2015-07-01 19:25:01.119,2015-07-01 19:25:01.15,31
1180209,2015-07-01 19:25:01.717,2015-07-01 19:25:01.857,140
1180502,2015-07-01 19:25:02.147,2015-07-01 19:25:02.194,47
1180208,2015-07-01 19:25:02.35,2015-07-01 19:25:02.381,31
1180501,2015-07-01 19:25:02.556,2015-07-01 19:25:02.562,6
