zoneName,1_ABS,1_SP,2_ABS,2_SP,3_ABS,3_SP,4_ABS,4_SP,5_ABS,5_SP,>=6_ABS,>=6_SP
1180714,0.0,0.0,0.3891891891891892,0.5614973262032086,0.2810810810810811,0.24064171122994651,0.16756756756756758,0.12834224598930483,0.0918918918918919,0.0481283422459893,0.07027027027027027,0.0213903743315508
1191504,0.0,0.0,0.2794759825327511,0.28820960698689957,0.2052401746724891,0.3624454148471616,0.24890829694323144,0.1965065502183406,0.17903930131004367,0.1222707423580786,0.08733624454148471,0.03056768558951965
1191909,0.0,0.0,0.46616541353383456,0.49612403100775193,0.2631578947368421,0.3333333333333333,0.13533834586466165,0.06201550387596899,0.11278195488721804,0.09302325581395349,0.022556390977443608,0.015503875968992248
1191908,0.0,0.0,0.4854368932038835,0.5801886792452831,0.21844660194174756,0.20754716981132076,0.20388349514563106,0.17452830188679244,0.03398058252427184,0.014150943396226415,0.05825242718446602,0.02358490566037736
1191907,0.0,0.0,0.46308724832214765,0.5527950310559007,0.24161073825503357,0.2981366459627329,0.21476510067114093,0.11180124223602485,0.020134228187919462,0.012422360248447204,0.06040268456375839,0.024844720496894408
1192501,0.0,0.0,0.3287671232876712,0.3870967741935484,0.22602739726027396,0.27741935483870966,0.2808219178082192,0.1870967741935484,0.13013698630136986,0.11612903225806452,0.03424657534246575,0.03225806451612903
1192502,0.0,0.0,0.42196531791907516,0.5,0.1907514450867052,0.19767441860465115,0.20809248554913296,0.1744186046511628,0.1329479768786127,0.11046511627906977,0.046242774566473986,0.01744186046511628
1192503,0.0,0.0,0.4689265536723164,0.4888888888888889,0.20903954802259886,0.29444444444444445,0.1638418079096045,0.10555555555555556,0.13559322033898305,0.1,0.022598870056497175,0.011111111111111112
1191902,0.0,0.0,0.45714285714285713,0.5158371040723982,0.2571428571428571,0.2398190045248869,0.18095238095238095,0.167420814479638,0.06666666666666667,0.05429864253393665,0.0380952380952381,0.02262443438914027
1191901,0.0,0.0,0.5151515151515151,0.6044776119402985,0.22727272727272727,0.1791044776119403,0.15151515151515152,0.11194029850746269,0.08333333333333333,0.06716417910447761,0.022727272727272728,0.03731343283582089
1191510,0.0,0.0,0.35359116022099446,0.40106951871657753,0.23204419889502761,0.25133689839572193,0.292817679558011,0.22459893048128343,0.09392265193370165,0.0962566844919786,0.027624309392265192,0.026737967914438502
1191906,0.0,0.0,0.37962962962962965,0.43103448275862066,0.19444444444444445,0.3706896551724138,0.2222222222222222,0.08620689655172414,0.12962962962962962,0.06896551724137931,0.07407407407407407,0.04310344827586207
1191905,0.0,0.0,0.45161290322580644,0.6020408163265306,0.24731182795698925,0.20408163265306123,0.16129032258064516,0.09183673469387756,0.10752688172043011,0.09183673469387756,0.03225806451612903,0.01020408163265306
1191904,0.0,0.0,0.55,0.6115702479338843,0.2,0.2231404958677686,0.15833333333333333,0.10743801652892562,0.09166666666666666,0.04132231404958678,0.0,0.01652892561983471
1191903,0.0,0.0,0.44019138755980863,0.5253456221198156,0.215311004784689,0.29493087557603687,0.18660287081339713,0.12903225806451613,0.08133971291866028,0.03225806451612903,0.07655502392344497,0.018433179723502304
1192507,0.0,0.0,0.40930232558139534,0.5092592592592593,0.24651162790697675,0.28703703703703703,0.16279069767441862,0.12037037037037036,0.10697674418604651,0.06018518518518518,0.07441860465116279,0.023148148148148147
1191114,0.0,0.0,0.5,0.5405405405405406,0.24107142857142858,0.21621621621621623,0.20535714285714285,0.14414414414414414,0.05357142857142857,0.06306306306306306,0.0,0.036036036036036036
1192506,0.0,0.0,0.45714285714285713,0.4943181818181818,0.24,0.30113636363636365,0.19428571428571428,0.16477272727272727,0.045714285714285714,0.011363636363636364,0.06285714285714286,0.028409090909090908
1192505,0.0,0.0,0.325,0.4177215189873418,0.2625,0.26582278481012656,0.29375,0.20253164556962025,0.08125,0.0759493670886076,0.0375,0.0379746835443038
1192504,0.0,0.0,0.4461538461538462,0.4739583333333333,0.24615384615384617,0.24479166666666666,0.19487179487179487,0.16666666666666666,0.09230769230769231,0.09375,0.020512820512820513,0.020833333333333332
1191110,0.0,0.0,0.5132743362831859,0.5412844036697247,0.21238938053097345,0.22018348623853212,0.21238938053097345,0.1651376146788991,0.035398230088495575,0.03669724770642202,0.02654867256637168,0.03669724770642202
